,route,cnt_total
219,main-bonus-online-main,11
220,main-bonus-main-news,11
221,main-tariffs-news-rabota,11
222,main-digital-archive,11
223,main-internet-online-archive,11
224,main-rabota-tariffs-bonus,11
225,main-news-archive-bonus,11
226,main-internet-tariffs-rabota,11
227,main-archive-news-vklad,11
228,main-rabota-internet-archive,11
229,main-archive-internet-rabota,11
230,main-archive-rabota-main,11
231,main-tariffs-main-rabota,10
232,main-archive-tariffs-internet,10
233,main-news-rabota-bonus,10
234,main-news-online-internet,10
235,main-vklad-rabota-news,10
236,main-rabota-tariffs-vklad,10
237,main-news-bonus-main,10
238,main-archive-vklad-news,10
239,main-archive-tariffs-rabota,10
240,main-online-archive-tariffs,10
241,main-internet-news-bonus,10
242,main-internet-online-news,10
243,main-news-archive-online,10
244,main-vklad-archive-internet,10
245,main-bonus-online-archive,10
246,main-vklad-news-archive,10
247,main-archive-main-online,10
248,main-news-online-tariffs,10
249,main-news-internet-bonus,10
250,main-rabota-online-news,10
251,main-archive-main-tariffs,10
252,main-rabota-bonus-online,10
253,main-news-archive-news,10
254,main-internet-archive-online,10
255,main-tariffs-news-bonus,10
256,main-online-archive-internet,10
257,main-tariffs-archive-vklad,10
258,main-internet-online-rabota,10
259,main-news-rabota-main,10
260,main-news-rabota-online,10
261,main-bonus-archive-online,10
262,main-online-tariffs-rabota,10
263,main-rabota-internet-main,10
264,main-archive-bonus-news,9
265,main-online-bonus-news,9
266,main-bonus-news-internet,9
267,main-vklad-rabota-archive,9
268,main-bonus-internet-bonus,9
269,main-rabota-bonus-news,9
270,main-vklad-archive-tariffs,9
271,main-rabota-archive-vklad,9
272,main-archive-vklad-online,9
273,main-archive-tariffs-bonus,9
274,main-bonus-archive-vklad,9
275,main-rabota-main-news,9
276,main-online-vklad-rabota,9
277,main-archive-main-news,9
278,main-news-vklad-news,9
279,main-digital-internet,9
280,main-rabota-news-rabota,9
281,main-internet-main-online,9
282,main-internet-archive-news,9
283,main-tariffs-archive-online,9
284,main-internet-online-bonus,9
285,main-news-bonus-news,9
286,main-tariffs-bonus-internet,9
287,main-vklad-bonus-archive,9
288,main-vklad-rabota-internet,9
289,main-news-online-rabota,9
290,main-bonus-archive-main,9
291,main-bonus-internet-online,9
292,main-tariffs-internet-vklad,9
293,main-news-archive-main,9
294,main-internet-vklad-rabota,9
295,main-rabota-bonus-rabota,9
296,main-main-news,9
297,main-rabota-internet-vklad,9
298,main-internet-archive-vklad,9
299,main-bonus-tariffs-archive,9
300,main-bonus-tariffs-main,9
301,main-news-bonus-archive,9
302,main-bonus-tariffs-bonus,9
303,main-rabota-bonus-vklad,9
304,main-archive-online-bonus,9
305,main-bonus-online-tariffs,9
306,main-tariffs-archive-tariffs,9
307,main-news-online-bonus,9
308,main-rabota-archive-main,9
309,main-rabota-vklad-rabota,9
310,main-online-rabota-online,9
311,main-rabota-internet-online,9
312,main-rabota-tariffs-main,9
313,main-archive-tariffs-news,9
314,main-rabota-online-bonus,9
315,main-internet-bonus-main,8
316,main-main-rabota,8
317,main-archive-bonus-vklad,8
318,main-news-tariffs-archive,8
319,main-internet-news-online,8
320,main-rabota-main-online,8
321,main-bonus-archive-news,8
322,main-main-tariffs,8
323,main-news-tariffs-bonus,8
324,main-archive-rabota-vklad,8
325,main-bonus-main-internet,8
326,main-news-internet-news,8
327,main-internet-main-rabota,8
328,main-bonus-online-news,8
329,main-news-internet-online,8
330,main-tariffs-online-tariffs,8
331,main-tariffs-news-online,8
332,main-online-news-archive,8
333,main-tariffs-online-rabota,8
334,main-archive-news-main,8
335,main-vklad-rabota-online,8
336,main-online-news-vklad,8
337,main-archive-news-online,8
338,main-online-archive-main,8
339,main-archive-internet-online,8
340,main-vklad-internet-main,8
341,main-bonus-main-rabota,8
342,main-internet-tariffs-internet,8
343,main-bonus-rabota-tariffs,8
344,main-internet-vklad-news,8
345,main-tariffs-digital,8
346,main-archive-online-main,8
347,main-archive-news-tariffs,8
348,main-vklad-news-rabota,8
349,main-bonus-online-rabota,8
350,main-tariffs-bonus-archive,8
351,main-bonus-vklad-tariffs,8
352,main-bonus-news-main,8
353,main-internet-main-archive,8
354,main-online-archive-rabota,8
355,main-internet-main-tariffs,8
356,main-internet-main-bonus,8
357,main-archive-news-rabota,8
358,main-internet-tariffs-online,8
359,main-archive-vklad-tariffs,7
360,main-online-archive-news,7
361,main-vklad-archive-bonus,7
362,main-rabota-bonus-archive-internet,7
363,main-digital-news,7
364,main-tariffs-vklad-tariffs,7
365,main-vklad-rabota-tariffs,7
366,main-archive-internet-archive-rabota,7
367,main-vklad-tariffs-internet,7
368,main-vklad-tariffs-vklad,7
369,main-tariffs-vklad-archive,7
370,main-rabota-online-internet,7
371,main-vklad-internet-bonus,7
372,main-news-internet-rabota,7
373,main-news-online-news,7
374,main-bonus-news-tariffs,7
375,main-rabota-online-main,7
376,main-vklad-internet-tariffs,7
377,main-bonus-tariffs-vklad,7
378,main-rabota-news-online,7
379,main-tariffs-rabota-vklad,7
380,main-tariffs-news-tariffs,7
381,main-rabota-main-archive,7
382,main-vklad-internet-rabota,7
383,main-tariffs-rabota-bonus,7
384,main-bonus-main-online,7
385,main-bonus-news-online,7
386,main-digital-online,7
387,main-archive-vklad-rabota,7
388,main-tariffs-archive-main,7
389,main-internet-news-tariffs,7
390,main-rabota-main-vklad,7
391,main-bonus-main-tariffs,7
392,main-bonus-internet-vklad,7
393,main-online-tariffs-bonus,7
394,main-bonus-internet-news,7
395,main-rabota-online-rabota,7
396,main-tariffs-internet-main,7
397,main-online-internet-news,7
398,main-vklad-bonus-news,7
399,main-internet-tariffs-main,7
400,main-online-tariffs-internet,7
401,main-news-bonus-internet,7
402,main-bonus-online-internet,6
403,main-online-vklad-internet,6
404,main-vklad-news-online,6
405,main-archive-tariffs-main,6
406,main-vklad-tariffs-archive,6
407,main-online-rabota-bonus,6
408,main-internet-vklad-tariffs,6
409,main-tariffs-internet-bonus,6
410,main-online-bonus-tariffs,6
411,main-online-news-bonus,6
412,main-news-archive-tariffs,6
413,main-online-archive-online,6
414,main-tariffs-bonus-tariffs,6
415,main-tariffs-rabota-online,6
416,main-vklad-internet-news,6
417,main-digital-main,6
418,main-archive-rabota-archive-rabota,6
419,main-archive-rabota-archive-news,6
420,main-archive-internet-vklad,6
421,main-bonus-internet-rabota-internet,6
422,main-rabota-vklad-tariffs,6
423,main-news-main-bonus,6
424,main-online-archive-vklad,6
425,main-rabota-news-rabota-archive,6
426,main-tariffs-bonus-vklad,6
427,main-bonus-rabota-digital,6
428,main-internet-bonus-vklad,6
429,main-archive-tariffs-vklad,6
430,main-news-vklad-tariffs,6
431,main-tariffs-online-bonus,6
432,main-bonus-archive-internet-rabota,6
433,main-news-archive-vklad,6
434,main-tariffs-online-archive,6
435,main-archive-vklad-bonus,6
436,main-bonus-internet-tariffs,6
437,main-news-bonus-online,6
438,main-internet-vklad-news-online,6
439,main-news-vklad-online,6
440,main-internet-vklad-bonus,6
441,main-tariffs-vklad-main,6
442,main-archive-vklad-main,6
443,main-vklad-tariffs-bonus,6
444,main-vklad-main-internet,6
445,main-vklad-archive-online,6
446,main-rabota-news-main,6
447,main-tariffs-main-online,6
